,start_passe,end_passe,x,y,end_x,end_y,player_start,player_end,team_start,team_end,successful
540,44749,44787,70.14091,66.1679,82.077034,60.906788,"('0', '9')","('0', '8')",0,0,True
542,44843,44923,77.69814,61.60086,45.633095,49.065258,"('0', '8')","('1', '3')",0,1,False
543,44848,44923,75.45443,60.945286,45.633095,49.065258,"('0', '8')","('1', '3')",0,1,False
544,44931,44963,45.373356,49.670753,54.828156,48.8766,"('1', '3')","('1', '1')",1,1,True
545,44989,45022,56.487484,47.05534,67.148094,45.650856,"('1', '1')","('1', '7')",1,1,True
547,45183,45244,76.171776,48.613697,67.17458,63.567104,"('0', '7')","('0', '6')",0,0,True
548,45353,45361,61.400116,66.95827,63.5038,67.253136,"('0', '6')","('1', '1')",0,1,False
549,45395,45427,68.143036,67.431076,73.635124,57.033154,"('1', '1')","('0', '7')",1,0,False
550,45402,45427,69.454445,65.81828,73.635124,57.033154,"('1', '1')","('0', '7')",1,0,False
551,45463,45566,76.95976,59.785725,33.614944,66.76018,"('0', '7')","('1', '3')",0,1,False
552,45467,45566,75.91685,60.225807,33.614944,66.76018,"('1', '1')","('1', '3')",1,1,True
554,45666,45705,21.65194,68.82682,35.740616,69.503044,"('0', '2')","('1', '6')",0,1,False
555,45952,46004,41.128956,69.29449,20.494406,60.279785,"('0', '9')","('0', '10')",0,0,True
556,45954,46004,40.701813,69.15693,20.494406,60.279785,"('0', '9')","('0', '10')",0,0,True
557,46044,46066,20.14413,61.417267,22.270288,56.147644,"('0', '10')","('0', '6')",0,0,True
559,46213,46226,27.871191,66.273544,30.505217,64.561615,"('1', '9')","('1', '6')",1,1,True
561,46320,46355,43.14429,56.03189,52.211807,54.83332,"('1', '6')","('1', '4')",1,1,True
563,46481,46514,58.944916,49.847416,64.416626,40.042694,"('1', '6')","('0', '4')",1,0,False
564,46532,46546,65.45447,40.934395,62.497128,43.10577,"('0', '4')","('0', '7')",0,0,True
565,46606,46670,57.574966,46.574905,54.910877,28.38777,"('1', '1')","('0', '4')",1,0,False
566,46838,46884,47.93355,10.265262,28.690132,13.40977,"('1', '2')","('1', '3')",1,1,True
567,46920,46985,26.195618,13.689243,14.481144,34.022537,"('1', '3')","('1', '10')",1,1,True
568,47030,47121,14.121276,38.369675,24.997595,71.97795,"('1', '10')","('0', '10')",1,0,False
571,47248,47266,27.774937,69.42496,30.229277,62.206394,"('0', '10')","('0', '6')",0,0,True
573,47324,47347,31.03876,59.624275,27.944826,66.73665,"('0', '5')","('0', '10')",0,0,True
574,47333,47347,30.091963,61.78993,27.944826,66.73665,"('0', '5')","('0', '10')",0,0,True
578,47777,47822,24.87523,69.4143,42.31256,65.91035,"('1', '5')","('0', '9')",1,0,False
579,47825,47836,42.520596,65.62552,39.501556,65.20142,"('0', '5')","('1', '4')",0,1,False
580,47968,48065,37.354603,47.731537,41.254128,15.624045,"('0', '10')","('0', '3')",0,0,True
581,47969,48065,37.38636,47.517483,41.254128,15.624045,"('0', '10')","('0', '3')",0,0,True
582,48089,48176,38.41856,12.475361,28.339426,6.694844,"('0', '3')","('1', '8')",0,1,False
583,48093,48176,36.20728,12.922985,28.339426,6.694844,"('0', '3')","('1', '8')",0,1,False
584,48127,48176,19.179886,21.210016,28.339426,6.694844,"('1', '3')","('1', '8')",1,1,True
587,48316,48361,28.292826,2.435845,39.592094,12.872559,"('1', '8')","('1', '4')",1,1,True
588,48385,48402,39.127796,14.158832,35.344418,16.671913,"('1', '4')","('1', '0')",1,1,True
589,48409,48454,34.648296,17.6858,44.96869,27.47559,"('1', '0')","('1', '7')",1,1,True
590,48537,48622,48.69291,29.65347,81.43412,13.058664,"('1', '7')","('1', '4')",1,1,True
591,48540,48622,49.40674,29.424456,81.43412,13.058664,"('1', '7')","('1', '4')",1,1,True
594,48793,48833,89.33949,8.849444,98.27475,28.970833,"('1', '8')","('0', '9')",1,0,False
595,48795,48833,89.70855,9.1158695,98.27475,28.970833,"('1', '8')","('0', '9')",1,0,False
596,48839,48902,97.767044,29.065075,80.223015,16.931543,"('0', '9')","('1', '0')",0,1,False
597,48953,48985,78.571236,15.83669,85.42561,3.8248012,"('1', '0')","('1', '4')",1,1,True
598,49124,49214,86.201004,3.5671208,81.79289,20.55341,"('1', '4')","('1', '2')",1,1,True
599,49127,49214,86.72783,5.4265103,81.79289,20.55341,"('1', '4')","('1', '2')",1,1,True
600,49180,49214,93.67999,33.24702,81.79289,20.55341,"('0', '8')","('1', '2')",0,1,False
601,49303,49482,73.42309,26.175808,20.984575,36.10982,"('0', '7')","('1', '10')",0,1,False
602,49395,49482,45.843796,22.736982,20.984575,36.10982,"('1', '3')","('1', '10')",1,1,True
603,49528,49570,21.76893,34.93062,26.94246,17.274529,"('1', '10')","('1', '3')",1,1,True
604,49530,49570,21.89985,34.428967,26.94246,17.274529,"('1', '10')","('1', '3')",1,1,True
605,49683,49745,32.01022,17.814178,22.999882,36.336254,"('1', '3')","('1', '10')",1,1,True
606,49783,49814,24.919958,36.839134,34.225094,35.64767,"('1', '10')","('1', '1')",1,1,True
607,49859,49905,35.09742,38.671513,33.647923,60.303387,"('1', '1')","('1', '9')",1,1,True
608,49953,50033,36.274834,60.841473,72.57389,48.572502,"('1', '9')","('0', '8')",1,0,False
609,49955,50033,36.62491,60.625435,72.57389,48.572502,"('1', '9')","('0', '8')",1,0,False
611,51676,51761,63.658085,39.90178,102.787056,21.937626,"('1', '1')","('0', '9')",1,0,False
614,52558,52651,99.76395,41.42004,51.916534,49.619232,"('0', '0')","('0', '7')",0,0,True
