,pos_min,pos_max,pass_count,team,player_min,player_max,x,y,x_end,y_end
47,"('1', '0')","('1', '9')",7,1,0,9,51.17401398533958,34.13267034976874,41.243709547562155,31.21189216391495
48,"('1', '1')","('1', '10')",1,1,1,10,53.29926709127409,38.51024626471743,22.196148001928943,36.760460079058916
49,"('1', '1')","('1', '2')",1,1,1,2,53.29926709127409,38.51024626471743,47.08156178056939,18.786049955039122
50,"('1', '1')","('1', '3')",7,1,1,3,53.29926709127409,38.51024626471743,40.618345444017926,41.54401318144124
51,"('1', '1')","('1', '4')",2,1,1,4,53.29926709127409,38.51024626471743,64.96040602276808,34.084019094992804
52,"('1', '1')","('1', '6')",1,1,1,6,53.29926709127409,38.51024626471743,60.46515986680673,50.66330313725636
53,"('1', '1')","('1', '7')",3,1,1,7,53.29926709127409,38.51024626471743,69.37587668979879,38.25995875947929
54,"('1', '1')","('1', '8')",4,1,1,8,53.29926709127409,38.51024626471743,59.47411288294061,22.197839567071483
55,"('1', '1')","('1', '9')",4,1,1,9,53.29926709127409,38.51024626471743,41.243709547562155,31.21189216391495
56,"('1', '10')","('1', '2')",4,1,10,2,22.196148001928943,36.760460079058916,47.08156178056939,18.786049955039122
57,"('1', '10')","('1', '3')",13,1,10,3,22.196148001928943,36.760460079058916,40.618345444017926,41.54401318144124
58,"('1', '10')","('1', '6')",1,1,10,6,22.196148001928943,36.760460079058916,60.46515986680673,50.66330313725636
59,"('1', '10')","('1', '9')",14,1,10,9,22.196148001928943,36.760460079058916,41.243709547562155,31.21189216391495
60,"('1', '2')","('1', '3')",1,1,2,3,47.08156178056939,18.786049955039122,40.618345444017926,41.54401318144124
61,"('1', '2')","('1', '4')",3,1,2,4,47.08156178056939,18.786049955039122,64.96040602276808,34.084019094992804
62,"('1', '2')","('1', '7')",2,1,2,7,47.08156178056939,18.786049955039122,69.37587668979879,38.25995875947929
63,"('1', '2')","('1', '8')",4,1,2,8,47.08156178056939,18.786049955039122,59.47411288294061,22.197839567071483
64,"('1', '2')","('1', '9')",8,1,2,9,47.08156178056939,18.786049955039122,41.243709547562155,31.21189216391495
65,"('1', '3')","('1', '4')",1,1,3,4,40.618345444017926,41.54401318144124,64.96040602276808,34.084019094992804
66,"('1', '3')","('1', '5')",7,1,3,5,40.618345444017926,41.54401318144124,47.79762572010255,52.57817228038842
67,"('1', '3')","('1', '8')",2,1,3,8,40.618345444017926,41.54401318144124,59.47411288294061,22.197839567071483
68,"('1', '3')","('1', '9')",10,1,3,9,40.618345444017926,41.54401318144124,41.243709547562155,31.21189216391495
69,"('1', '4')","('1', '5')",2,1,4,5,64.96040602276808,34.084019094992804,47.79762572010255,52.57817228038842
70,"('1', '4')","('1', '6')",1,1,4,6,64.96040602276808,34.084019094992804,60.46515986680673,50.66330313725636
71,"('1', '4')","('1', '7')",2,1,4,7,64.96040602276808,34.084019094992804,69.37587668979879,38.25995875947929
72,"('1', '4')","('1', '8')",2,1,4,8,64.96040602276808,34.084019094992804,59.47411288294061,22.197839567071483
73,"('1', '5')","('1', '6')",5,1,5,6,47.79762572010255,52.57817228038842,60.46515986680673,50.66330313725636
74,"('1', '5')","('1', '8')",2,1,5,8,47.79762572010255,52.57817228038842,59.47411288294061,22.197839567071483
75,"('1', '5')","('1', '9')",2,1,5,9,47.79762572010255,52.57817228038842,41.243709547562155,31.21189216391495
76,"('1', '6')","('1', '7')",1,1,6,7,60.46515986680673,50.66330313725636,69.37587668979879,38.25995875947929
77,"('1', '6')","('1', '8')",3,1,6,8,60.46515986680673,50.66330313725636,59.47411288294061,22.197839567071483
78,"('1', '6')","('1', '9')",2,1,6,9,60.46515986680673,50.66330313725636,41.243709547562155,31.21189216391495
79,"('1', '7')","('1', '8')",1,1,7,8,69.37587668979879,38.25995875947929,59.47411288294061,22.197839567071483
80,"('1', '8')","('1', '9')",2,1,8,9,59.47411288294061,22.197839567071483,41.243709547562155,31.21189216391495
